ロスト・ハイウェイ Lost Highway (1997) ,
Cracker (1997) ,
インモラル・ビーチ/灼熱の貞操帯 The Blood Oranges (1997) ,
ロスト・チルドレン The City of Lost Children (1995) ,
魔界世紀ハリウッド Witch Hunt (1994) ,
Naked in New York (1994) ,
ツイン・ピークス/ローラ・パーマー最期の7日間 Twin Peaks: Fire Walk With Me (1992) ,
ワイルド・アット・ハート Wild at Heart (1990) ,
ツイン・ピークス Twin Peaks (1990) ,
迷宮のヴェニス The Comfort of Strangers (1990) ,
今ひとたび Cousins (1989) ,
ナショナル・ランプーン/クリスマス・バケーション National Lampoon's Christmas Vacation (1989) ,
ペアレンツ Parents (1989) ,
"Wait Until Spring, Bandini (1989) ",
エルム街の悪夢3/惨劇の館 A Nightmare on Elm Street 3: Dream Warriors (1987) ,
タフガイは踊らない Tough Guys Don't Dance (1987) ,
ウィーズ Weeds (1987) ,
ブルーベルベット Blue Velvet (1986) ,
Posledni motyl (The Last Butterfly) (1990) ,
愛と哀しみの十字架 The Penitent (1988) ,
ザ・デッド/「ダブリン市民」より The Dead (1987) ,
"グッドモーニング，ベトナム Good Morning, Vietnam (1987) ",
女と男の名誉 Prizzi's Honor (1985) ,
Death of a Salesman (1985) ,
火山のもとで Under the Volcano (1984) ,
"Sister, Sister (1982) ",
ドラゴンスレイヤー Dragonslayer (1981) ,
カーニー Carny (1980) ,
Wise Blood (1979) ,
The Word (1978) ,
シャレード'79 Somebody Killed Her Husband (1978) ,「Love Keeps Getting Stronger Everyday(愛は華麗に)」Neil Sedaka(ニール・セダカ) … 公開当時、LPレコードでシングルがリリースされていたようです。ニール・セダカのアルバム「All You Need Is the Music」に収録されているもよう。 
The Passover Plot (1976) ,
弾丸を噛め Bite the Bullet (1975) ,
怒りの凶弾 Journey Into Fear (1975) ,
Shanks (1974) ,
ポケットマネー Pocket Money (1972) ,
ウイラード Willard (1971) ,
殺人美学 Hard Contract (1969) ,
オリンポスの詩 A Dream of Kings (1969) ,
コマンド戦略 The Devil's Brigade (1968) ,
栄光の座 The Shoes of the Fisherman (1968) ,
2001年宇宙の旅 2001: A Space Odyssey (1968) ,
バージニア・ウルフなんかこわくない Who's Afraid of Virginia Woolf? (1966) ,
華麗なる激情 The Agony and the Ecstasy (1965) ,
シャイアン Cheyenne Autumn (1964) ,
暴行 The Outrage (1964) ,
クレオパトラ Cleopatra (1963) ,
All Fall Down (1962) ,
噂の二人 The Children's Hour (1961) ,
サンクチュアリ Sanctuary (1961) ,
荒馬と女 The Misfits (1961) ,
スパルタカス Spartacus (1960) ,
悶え The Sound and the Fury (1959) ,
メキシコの暴れん坊 The Wonderful Country (1959) ,
"長く熱い夜 The Long, Hot Summer (1958) ",
Hot Spell (1958) ,
女優志願 Stage Struck (1958) ,
Four Girls in Town (1956) ,
ながれ者 The King and Four Queens (1956) ,
雨を降らす男 The Rainmaker (1956) ,
スーパーマン：ザ・オルティメイト・コレクション Superman: The Ultimate Collection (1999) ,
明日泣く I'll Cry Tomorrow (1955) ,
街中の拳銃に狙われる男 Man With the Gun (1955) ,
ばらの刺青 The Rose Tattoo (1955) ,
アンチェイド Unchained (1955) ,
デジレ Desiree (1954) ,
"Go, Man, Go! (1954) ",
バック・トゥ・ザ・フューチャー・トリロジー Back To The Future Trilogy (1999) ,
レ・ミゼラブル Les Miserables (1952) ,
The Member of the Wedding (1952) ,
荒野の襲撃 Pony Soldier (1952) ,
The 13th Letter (1951) ,
