男はつらいよ 純情篇 (1971) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
男はつらいよ 望郷篇 (1970) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
新・男はつらいよ (1970) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
続・男はつらいよ (1969) ,男はつらいよ,渥美清(唄)、星野哲郎(作詞)、山本直純(作曲)
カサブランカ Casablanca (1942) ,As Time Goes By(時の過ぎゆくままに),Dooley Wilson(ドゥーリー・ウィルソン)/Elliot Carpenter(エリオット・カーペンター)
小さな恋のメロディ Melody (1971) ,メロディ・フェア,
トゥルー・クライム True Crime (1999) ,Why Should I Care(ホワイ・シュド・アイ・ケア),Diana Krall(ダイアナ・クラール) … プロデュースで、
ラ・ブーム La Boum (1981) ,Reality(愛のファンタジー),Richard Sanderson(リチャード・サンダーソン)
ラ・ブーム2 La Boum 2 (1982) ,Your Eyes(恋する瞳),Cook da Books(クック・ダ・ブックス)
ホワイトナイツ/白夜 White Nights (1985) ,"Say You, Say Me(セイ・ユー、セイ・ミー)",Lionel Richie(ライオネル・リッチー) … 第58回アカデミー賞で主題歌賞を受賞。
アンドリューNDR114 Bicentennial Man (1999) ,Then You Look at Me(ゼン・ユー・ルック・アット・ミー),Celine Dion(セリーヌ・ディオン)
M★A★S★H マッシュ M*A*S*H (1970) ,Suicide Is Painless(もしもあの世に行けたら/自殺は苦しくない),The MASH
ホーホケキョ となりの山田くん (1999) ,ひとりぼっちはやめた,矢野顕子
まだ恋は始まらない (1995) ,BEAUTIFUL GIRLS,小泉今日子
おもひでぽろぽろ (1991) ,愛は花・君はその種子,Amanda McBroom(作詞・作曲)、高畑勲(日本語訳詞)、星勝(編曲)、都はるみ(歌) … オリジナルは、
霧の子午線 (1996) ,二隻の舟,中島みゆき
アリゾナ・ドリーム Arizona Dream (1993) ,In the Deathcar(イン・ザ・デス・カー),Iggy Pop(イギー・ポップ)
天国のKiss (1999) ,AS TIME GOES BY,hiro
秘密 (1999) ,天使のため息,竹内まりや
不機嫌な果実 (1997) ,悲しみジョニー,UA
アンドロメディア andromedia (1998) ,ALIVE,SPEED
TEAM (1999) ,風の向くまま,canna(作詞・作曲・唄)
誘惑されて棄てられて Sedotta e abbandonata (Seduced and Abandoned) (1963) ,L'onuri Di L'ascaluni(誘惑されて棄てられて),
ヒーローインタビュー (1994) ,HEART,CHAGE &amp; ASKA
シュリ Shuri (1999) ,When I Dream(ホエン・アイ・ドリーム),Carol Kidd(キャロル・キッド) … サントラ1曲目に収録。エンド・クレジットや、ベッドシーン、店内のBGMとして使われている。
アナザヘヴン～eclipse～ another heaven～eclipse～ (2000) ,gravity,LUNA SEA … サントラ、MAXIシングル「
アナザヘヴン another heaven (2000) ,gravity,LUNA SEA … サントラ、MAXIシングル「
クロスファイア Cross Fire (2000) ,The One Thing,Every Little Thing
ハンニバル Hannibal (2001) ,,
君といた夏 (1994) ,"Hello, my friend",松任谷由実
神様、もう少しだけ (1998) ,I for You,LUNA SEA
青い鳥 (1997) ,Wanderin' Destiny,globe
P.S. 元気です、俊平 (1999) ,なぜ・・・,Hysteric Blue
あすなろ白書 (1993) ,TRUE LOVE,藤井フミヤ
ミセスシンデレラ (1997) ,DO NOT,藤井フミヤ
アリー・myラブ Ally McBeal (1997) ,Searchin' My Soul(サーチン・マイ・ソウル),Vonda Shepard(ヴォンダ・シェパード) … サントラ第1弾の1曲目に収録。
輝く季節の中で (1995) ,君がいたから,FIELD OF VIEW
出逢った頃の君でいて (1994) ,純愛ラプソディ,竹内まりや
振り返れば奴がいる (1993) ,YAH YAH YAH,CHAGE &amp; ASKA
オードリー (2000) ,Reach for the sky,倉木麻衣
明日を抱きしめて (2000) ,RING,B'z 
HERO (2001) ,Can You Keep A Secret?,宇多田ヒカル
千と千尋の神隠し Miyazaki's Spirited Away (2001) ,いつも何度でも,木村弓(歌・作曲)、覚和歌子(作詞)
"モンスターズ・インク Monsters, Inc. (2002) ",If I Didn't Have You(君がいないと),Billy Crystal &amp; John Goodman(ビリー・クリスタル&amp;ジョン・グッドマン)
プリティ・プリンセス The Princess Diaries (2001) ,Miracles Happen(ミラクルズ・ハプン),Myra(ミラ?マイラ?) … サントラ(コンピ盤)6曲目や、アルバム「
二千年の恋 (2000) ,Yesterday &amp; Today,Do As Infinity
ロード・オブ・ザ・リング The Lord of the Rings: The Fellowship of the Ring (2001) ,May It Be(メイ・イット・ビー),Enya … 第74回アカデミー賞でオリジナル歌曲賞にノミネート。
コヨーテ・アグリー Coyote Ugly (2000) ,Can't Fight The Moonlight(キャント・ファイト・ザ・ムーンライト),LeAnn Rimes(リアン・ライムス)
スチュアート・リトル2 Stuart Little 2 (2002) ,I'm Alive,Celine Dion … サントラ1曲目
スウィート・ノベンバー Sweet November (2001) ,Only Time(オンリー・タイム),Enya … サントラ2曲目に収録。
まんてん 満天 (2002) ,この街,元ちとせ
ナースのお仕事 (1996) ,PROMISE to PROMISE,観月ありさ
ナースのお仕事2 (1997) ,Days,観月ありさ
ナースのお仕事3 (2000) ,BREAK ALL DAY!,「女神の舞」観月ありさ
007/ダイ・アナザー・デイ Die Another Day (2002) ,Die Another Day(ダイ・アナザー・デイ),Madonna(マドンナ) … マドンナはフェンシングの教官役(ベリティ)で出演。
ナースのお仕事4 (2002) ,Love Potion,観月ありさ
ティコ・ムーン Tykho Moon (1996) ,,
GO (2001) ,幸せのありか-theme of GO-,The Kaleidoscope
ボーン・アイデンティティー The Bourne Identity (2002) ,Extreme Ways(エクストリーム・ウェイズ),Moby(モービー) … サントラ『
ヨイショの男 (2002) ,ヨイショ！'02～日本の皆さんホメていきまショー～,MATCHY with O.A.I(マッチウィズオーエーアイ)
