85,ハレルヤ,23,Rude-α,2020-03-04,233533,31,7,1,0.67,0.139,0.677,0.0,0.0565,-6.212,0.303,169.818,4,0.875
86,Sing Out!,Sing Out! (Special Edition),Nogizaka46,2019-05-22,325560,0,11,1,0.52,0.489,0.822,2.38e-06,0.326,-4.515,0.0367,89.957,4,0.7
87,傘,Ceremony,King Gnu,2020-01-15,203213,31,10,1,0.709,0.374,0.88,0.0,0.0459,-4.322,0.0487,105.084,4,0.687
88,Closer - Tokyo Remix,World War Joy (Japan Edition),The Chainsmokers,2020-02-19,246786,50,8,1,0.723,0.308,0.539,0.0,0.109,-5.149,0.0391,95.001,4,0.635
89,Baby,note-book -u.-,CHANMINA,2020-02-19,189573,39,11,0,0.726,0.0113,0.739,0.0,0.355,-4.567,0.0388,102.997,4,0.164
90,ハルノヒ,ハルノヒ,Aimyon,2019-04-03,326866,54,9,1,0.591,0.263,0.673,0.0,0.109,-2.445,0.0294,106.956,4,0.525
91,トリコ,トリコ / Relax & Chill,Nissy,2018-09-30,232439,56,2,1,0.632,0.0855,0.799,0.0,0.061,-3.436,0.036,90.016,4,0.719
92,ボーイフレンド,まとめⅡ,aiko,2011-02-23,287386,33,2,1,0.761,0.244,0.848,7.71e-06,0.363,-4.204,0.0358,120.072,4,0.634
93,アゲイン,COMINATCHA!!,WANIMA,2019-10-23,214088,52,7,1,0.486,0.000272,0.949,0.0,0.188,-2.397,0.0565,97.268,4,0.358
94,真夏の夜の匂いがする,真夏の夜の匂いがする,Aimyon,2019-07-19,233306,42,9,1,0.474,0.0566,0.86,3.57e-06,0.14,-2.022,0.0921,202.937,4,0.729
95,Vinyl,Tokyo Rendez-Vous,King Gnu,2017-10-27,294386,29,1,1,0.661,0.0597,0.892,0.0,0.174,-3.83,0.111,90.018,4,0.728
96,さらしもの (feat. PUNPEE),Same Thing,Gen Hoshino,2019-10-14,230600,48,1,1,0.816,0.0487,0.586,8.06e-06,0.0887,-5.744,0.211,154.092,4,0.606
97,たばこ,コレカラー,Koresawa,2017-08-09,374600,52,5,1,0.666,0.864,0.322,0.0,0.336,-8.298,0.0314,148.151,4,0.25
98,優しいあの子,見っけ,SPITZ,2019-10-09,204466,53,2,1,0.56,0.224,0.846,0.0,0.148,-4.054,0.03,102.045,4,0.565
99,キュン,キュン (Special Edition),Hinatazaka46,2019-03-27,300573,0,4,1,0.609,0.673,0.961,0.0,0.337,-1.106,0.0823,128.892,4,0.614
100,Hug,Hug,空音,2019-08-21,184728,60,1,0,0.727,0.871,0.83,0.0,0.0907,-3.129,0.164,91.859,4,0.839
101,シンクロニシティ,今が思い出になるまで (Complete Edition),Nogizaka46,2019-04-17,254893,0,0,1,0.567,0.615,0.923,0.0,0.0567,-3.607,0.0409,135.918,4,0.504
102,空の青さを知る人よ,空の青さを知る人よ,Aimyon,2019-09-13,304933,46,7,1,0.574,0.18,0.714,0.0,0.31,-1.969,0.0329,107.985,4,0.633
103,すきにやる,ZIP ROCK STAR,HENTAI SHINSHI CLUB,2017-11-20,217037,0,1,1,0.7,0.149,0.69,0.0,0.156,-7.016,0.0907,93.132,4,0.71
104,だから僕は音楽を辞めた,だから僕は音楽を辞めた,ヨルシカ,2019-04-10,242912,64,4,1,0.65,0.36,0.88,0.00369,0.23,-5.326,0.0283,124.985,4,0.921
105,カワキヲアメク,カワキヲアメク,美波,2019-01-30,251933,73,6,0,0.541,0.0122,0.846,0.000149,0.163,-2.729,0.0551,129.138,4,0.524
106,火炎,火炎(Full Edition),QUEEN BEE,2019-01-30,215973,0,11,0,0.52,0.034,0.933,2.13e-05,0.33,-4.874,0.18,169.839,4,0.604
107,PORSCHEでKISS,PORSCHEでKISS,t-Ace,2019-03-20,198900,50,7,1,0.729,0.0126,0.646,2.24e-06,0.259,-5.008,0.0355,99.989,4,0.565
108,別の人の彼女になったよ,群青リフレイン,wacci,2018-11-07,304813,1,2,1,0.528,0.0299,0.617,0.0,0.334,-5.07,0.0263,72.023,4,0.497
109,コイワズライ,Sun Dance,Aimer,2019-04-09,235160,1,10,1,0.675,0.3,0.5,0.0,0.312,-5.825,0.0258,93.917,4,0.773
110,令和,令和,GOLDEN BOMBER,2019-04-01,241680,37,7,0,0.573,0.0939,0.955,0.0,0.336,-3.352,0.135,142.021,4,0.619
111,憧憬と屍の道 [TV Size],憧憬と屍の道 [TV Size],Linked Horizon,2019-04-30,90090,26,0,0,0.408,0.226,0.943,0.0,0.352,-4.579,0.0913,178.076,4,0.807
112,Take It Easy,SACULA,WILYWNKA,2018-09-19,229416,47,4,1,0.863,0.616,0.762,0.0,0.108,-3.531,0.0993,99.966,4,0.642
113,#302,#302,Ken Hirai,2019-10-25,268866,0,0,1,0.402,0.797,0.347,0.0,0.23,-7.008,0.0339,78.689,4,0.534
114,願い,願い,sumika,2019-11-16,314186,0,2,1,0.553,0.0588,0.837,0.0,0.103,-5.343,0.0296,91.004,4,0.74
115,そっけない,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,389466,60,0,1,0.626,0.594,0.399,0.0,0.101,-7.304,0.0363,109.916,4,0.184
116,Blizzard,Blizzard,Daichi Miura,2018-11-09,310666,55,1,1,0.64,0.025,0.785,0.000147,0.105,-4.111,0.0448,140.016,4,0.353
117,今夜このまま,瞬間的シックスセンス,Aimyon,2019-02-13,238093,57,1,1,0.441,0.0254,0.852,0.0,0.0862,-3.595,0.0383,104.855,4,0.64
118,Turning Up,Turning Up,ARASHI,2019-11-03,182633,52,1,1,0.769,0.0225,0.817,1.03e-06,0.244,-5.409,0.103,118.021,4,0.896
119,Paris,KOHH Complete Collection 3 (「YELLOW TAPE 3」より),KOHH,2017-05-19,161558,16,9,0,0.75,0.0757,0.774,0.0754,0.267,-5.08,0.0316,120.039,4,0.603
120,黒い羊,黒い羊 (Special Edition),Keyakizaka46,2019-02-27,307600,0,1,0,0.506,0.559,0.943,0.0,0.565,-2.869,0.0855,102.96,4,0.399
121,Let me Know,LA LA PALOOZA,Typewriter,2017-02-15,252007,27,8,1,0.633,0.109,0.901,0.0,0.127,-4.777,0.12,79.996,4,0.125
122,どろん,Ceremony,King Gnu,2020-01-15,182853,34,8,1,0.579,0.303,0.945,0.0,0.318,-1.669,0.0474,120.057,4,0.576
123,青と夏,Attitude,Mrs. GREEN APPLE,2019-10-01,270026,63,4,1,0.31,0.00157,0.891,0.0,0.284,-1.66,0.0469,184.886,4,0.748
124,韻波句徒,BEST,CHEHON,2016-05-25,291440,0,10,0,0.806,0.408,0.863,0.0,0.0755,-2.679,0.0518,122.03,4,0.928
125,小さな惑星,Ceremony,King Gnu,2020-01-15,151773,24,11,1,0.615,0.0797,0.953,0.0186,0.198,-2.996,0.0544,119.947,4,0.766
126,あの頃のラブソングは捨てて,あの頃のラヴソングは捨てて,Mr.ふぉるて,2019-12-25,276405,0,5,0,0.43,0.000353,0.92,0.00132,0.376,-4.193,0.0361,93.953,4,0.734
127,Picky,Picky,CHANMINA,2020-02-07,171573,41,1,1,0.839,0.0606,0.663,5.04e-05,0.118,-5.103,0.0496,85.463,4,0.497
128,春を告げる,春を告げる,yama,2020-04-17,196497,71,11,1,0.548,0.0397,0.871,0.0,0.357,-5.377,0.123,120.009,4,0.487
129,202 feat. 泉まくら - New Mix,LSC,Lovely Summer Chan,2016-11-02,330933,49,8,1,0.794,0.526,0.501,0.00111,0.0894,-8.837,0.0356,90.013,4,0.542
